Year,State,SEIFA_Quintile,Actual,Adjusted
2010,Vic,Q5,27.3336050035282,36.1999014865618
2010,WA,Q1,24.5416606798103,30.5168770452236
2010,WA,Q2,25.6398258479589,31.882415092912
2010,WA,Q3,26.1213215498551,32.481141695984
2010,WA,Q4,26.9199966817267,33.4742721575447
2010,WA,Q5,28.4642049287095,35.3944524509737
2011,ACT,Q1,32.3587679671458,42.3658378751898
2011,ACT,Q4,31.1997919973418,40.8484442560072
2011,ACT,Q5,32.652969470202,42.7510222924016
2011,Aus,Q1,23.3835358661505,30.5607541370703
2011,Aus,Q2,25.2855531560463,33.046566509232
2011,Aus,Q3,25.7288186552828,33.6258855659031
2011,Aus,Q4,26.9185243498531,35.1807532059106
2011,Aus,Q5,28.987824427839,37.8851932564289
2011,NSW,Q1,22.3138661176457,29.4091480856639
2011,NSW,Q2,23.6298573023871,31.1435933596221
2011,NSW,Q3,24.2435223566529,31.9523893952687
2011,NSW,Q4,26.146641127468,34.4606549490917
2011,NSW,Q5,28.14866440794,37.0992743087277
2011,NT,Q1,33.6929561002863,42.7919664557539
2011,NT,Q2,36.5415039876779,46.4097839390893
2011,NT,Q3,33.0316350733936,41.9520512190188
2011,NT,Q4,37.6060170861233,47.7617759894395
2011,NT,Q5,38.2565170303962,48.5879478371083
2011,Qld,Q1,24.0515396216204,31.5919197947926
2011,Qld,Q2,27.9336038107584,36.6910470203627
2011,Qld,Q3,28.2791769295188,37.1449605087658
2011,Qld,Q4,27.3285719636981,35.8963320920742
2011,Qld,Q5,28.4435644750355,37.3608850705581
2011,SA,Q1,20.4208576413943,27.039328134246
2011,SA,Q2,21.692785064075,28.7234916277074
2011,SA,Q3,22.1022191376401,29.2656246986529
2011,SA,Q4,23.7167257456945,31.4033984746964
2011,SA,Q5,26.1521686572938,34.6281768456826
2011,Tas,Q1,25.6794526694429,34.5587011664111
2011,Tas,Q2,27.3410744407368,36.7948660483083
2011,Tas,Q3,26.6071482761398,35.8071684004259
2011,Tas,Q4,27.1292631924693,36.5098162956213
2011,Tas,Q5,29.0031175756196,39.031597989735
2011,Vic,Q1,23.6110481086819,30.7811695676896
2011,Vic,Q2,23.72923131697,30.935242244075
2011,Vic,Q3,24.815680878897,32.3516210527786
2011,Vic,Q4,26.3133820657645,34.3041389580616
2011,Vic,Q5,29.1874540345131,38.0509991657312
2011,WA,Q1,26.5348050551746,32.3088521419895
2011,WA,Q2,27.3643377863425,33.3188934934341
2011,WA,Q3,27.9454362901026,34.0264406413735
2011,WA,Q4,28.6882913866486,34.9309430647876
2011,WA,Q5,30.2672528219604,36.8534908824677
2012,ACT,Q1,33.4290818363274,43.5047065350904
2012,ACT,Q4,32.96913320002,42.9061280117036
2012,ACT,Q5,34.6748686103984,45.1259771484029
2012,Aus,Q1,24.9891096900227,31.9163995247211
2012,Aus,Q2,26.9605137795743,34.434301175772
2012,Aus,Q3,27.389768904459,34.9825511228008
2012,Aus,Q4,28.6835819571363,36.6350251329507
2012,Aus,Q5,30.8539387730397,39.4070316632686
2012,NSW,Q1,23.7751907592669,30.5360779066687
2012,NSW,Q2,25.1605211058917,32.3153509236274
2012,NSW,Q3,25.7435919599635,33.0642280706216
2012,NSW,Q4,27.8701058383919,35.7954529898577
2012,NSW,Q5,30.2948431166222,38.9097062962117
2012,NT,Q1,35.8525316394632,45.0550543210079
2012,NT,Q2,38.0959919363695,47.8743594278439
